,PC1,PC2,PC3,sample_id,Super_Population,Population,Population_Description
0,106398.93198170548,21354.10884696887,829.5888054196005,HG00096,EUR,GBR,British in England and Scotland
1,115054.08985448166,34932.758416880046,11008.74752420556,HG00097,EUR,GBR,British in England and Scotland
2,103394.03149955592,22934.54993228715,-19261.891539482243,HG00099,EUR,GBR,British in England and Scotland
3,93802.10536976132,31833.457017921948,-14506.485816074173,HG00100,EUR,GBR,British in England and Scotland
4,105928.49249998857,26074.598961367035,-13525.45699122852,HG00101,EUR,GBR,British in England and Scotland
5,105358.99074369186,21156.087128433945,-8161.804811755559,HG00102,EUR,GBR,British in England and Scotland
6,111818.12492912987,22546.782832517183,4990.487526348152,HG00103,EUR,GBR,British in England and Scotland
7,110538.77074044595,25732.6536502108,-6060.290476600112,HG00105,EUR,GBR,British in England and Scotland
8,79578.96946694374,22098.70332066784,10824.559301126881,HG00106,EUR,GBR,British in England and Scotland
9,105685.59052408257,26941.915597785115,13926.778373689145,HG00107,EUR,GBR,British in England and Scotland
10,92966.41360034354,34089.95627353541,-17627.506526288846,HG00108,EUR,GBR,British in England and Scotland
11,99381.5587191894,21734.211658982185,-7205.028752614447,HG00109,EUR,GBR,British in England and Scotland
12,111224.71704777288,34378.96410588179,-2578.9862825236423,HG00110,EUR,GBR,British in England and Scotland
13,107951.23570257942,20945.469302231377,10856.262355669847,HG00111,EUR,GBR,British in England and Scotland
14,90341.36486220208,10591.542042897487,20778.60641501657,HG00112,EUR,GBR,British in England and Scotland
15,84981.03870508846,26235.6803428956,2937.4413789755736,HG00113,EUR,GBR,British in England and Scotland
16,101297.28747268763,19190.48852534293,-3444.5307933751283,HG00114,EUR,GBR,British in England and Scotland
17,100954.83072210668,18848.574646105822,-14492.986907054641,HG00115,EUR,GBR,British in England and Scotland
18,99716.3516675841,17089.10132237744,8335.023514615064,HG00116,EUR,GBR,British in England and Scotland
19,99726.07458064758,15029.210734572347,5811.354087680793,HG00117,EUR,GBR,British in England and Scotland
20,105239.55305223711,16551.38461278377,-14637.034594382028,HG00118,EUR,GBR,British in England and Scotland
21,98065.3317668557,30510.525974862532,1452.5408417189249,HG00119,EUR,GBR,British in England and Scotland
22,90455.77948247637,23283.262067864984,-4603.609955043553,HG00120,EUR,GBR,British in England and Scotland
23,96660.95114457933,14698.136333034585,1199.2716748359178,HG00121,EUR,GBR,British in England and Scotland
24,92506.4259919754,29485.823936477693,653.8180630041741,HG00122,EUR,GBR,British in England and Scotland
25,92782.4429050693,30360.37181233187,-23069.936642669923,HG00123,EUR,GBR,British in England and Scotland
26,101250.51444333636,30673.293347091283,5005.300081432544,HG00125,EUR,GBR,British in England and Scotland
27,125050.95814546743,26242.171020601654,-7119.47944039163,HG00126,EUR,GBR,British in England and Scotland
28,101351.52638195099,17381.751568108208,2651.6323095903927,HG00127,EUR,GBR,British in England and Scotland
29,102906.80819121363,14170.329616186771,-19385.46669167982,HG00128,EUR,GBR,British in England and Scotland
30,89514.14973924862,22420.213961641977,19112.207561029983,HG00129,EUR,GBR,British in England and Scotland
31,85898.23910036102,29805.240573223222,30.21700316373805,HG00130,EUR,GBR,British in England and Scotland
32,110050.06082874624,34117.92974691873,-15224.293131962244,HG00131,EUR,GBR,British in England and Scotland
33,133227.80954984194,21926.639743635555,4241.728732834081,HG00132,EUR,GBR,British in England and Scotland
34,88627.87189960261,17487.060966817917,15410.482224175275,HG00133,EUR,GBR,British in England and Scotland
35,92220.02020362526,29064.31705992907,1793.5031182453301,HG00136,EUR,GBR,British in England and Scotland
36,85353.93891042279,28244.393915042492,-10644.528998600907,HG00137,EUR,GBR,British in England and Scotland
37,116869.3011513469,19768.717922204076,-10332.227309510765,HG00138,EUR,GBR,British in England and Scotland
38,93780.90247744414,27013.040389028665,14003.13238922246,HG00139,EUR,GBR,British in England and Scotland
39,104397.13030970072,20933.818261429526,-6701.396792633198,HG00140,EUR,GBR,British in England and Scotland
40,98566.56235112649,26751.02781955898,-7346.006540097006,HG00141,EUR,GBR,British in England and Scotland
41,109243.61557404444,17756.387239405838,-7495.444669946487,HG00142,EUR,GBR,British in England and Scotland
42,71130.42099716954,17879.49041492121,-12736.522112092835,HG00143,EUR,GBR,British in England and Scotland
