,PC1,PC2,PC3,sample_id,Super_Population,Population,Population_Description
0,-54986.49667564463,5976.026528607058,2631.1836479647113,HG00096,EUR,GBR,British in England and Scotland
1,-63628.567777578246,14094.406328501102,8108.054142318057,HG00097,EUR,GBR,British in England and Scotland
2,-53057.04585034513,6409.048013132691,-17893.752057373604,HG00099,EUR,GBR,British in England and Scotland
3,-47360.40054891313,11358.845705306676,-12556.092069621383,HG00100,EUR,GBR,British in England and Scotland
4,-55612.704446457115,8738.79765960968,-10062.301955269764,HG00101,EUR,GBR,British in England and Scotland
5,-53458.653592731396,5114.419835885513,-5629.078189847275,HG00102,EUR,GBR,British in England and Scotland
6,-58133.37523056912,5098.741498932202,3752.9491212959915,HG00103,EUR,GBR,British in England and Scotland
7,-58473.284243761605,7995.731727595102,-5746.829812531222,HG00105,EUR,GBR,British in England and Scotland
8,-35340.29916828992,8784.456096817967,7199.624356113187,HG00106,EUR,GBR,British in England and Scotland
9,-54639.5657095319,8934.210669195023,11484.490891249485,HG00107,EUR,GBR,British in England and Scotland
10,-47326.29565918422,14445.31374572225,-15586.968522039497,HG00108,EUR,GBR,British in England and Scotland
11,-49954.010568601385,6300.850762633874,-6701.360001492762,HG00109,EUR,GBR,British in England and Scotland
12,-59944.877327863454,14713.130226057647,-2943.6372627279725,HG00110,EUR,GBR,British in England and Scotland
13,-55855.69692568318,4444.916423741912,9698.48427755836,HG00111,EUR,GBR,British in England and Scotland
14,-39567.71912301451,-492.80154919687243,17296.737735336144,HG00112,EUR,GBR,British in England and Scotland
15,-40475.289957617795,10785.855039181099,2521.522434659785,HG00113,EUR,GBR,British in England and Scotland
16,-49669.73642309091,3938.220290925591,-5528.347588519842,HG00114,EUR,GBR,British in England and Scotland
17,-50362.37067575514,2484.995820210498,-11654.480727353519,HG00115,EUR,GBR,British in England and Scotland
18,-48193.58362808207,1086.6273803811591,7295.0426375186935,HG00116,EUR,GBR,British in England and Scotland
19,-47668.99810829063,1398.4622101739985,7045.62398361147,HG00117,EUR,GBR,British in England and Scotland
20,-52355.03889778002,-223.25939421199166,-11487.410770844197,HG00118,EUR,GBR,British in England and Scotland
21,-50232.08325607836,12210.826570606738,2548.4661430541573,HG00119,EUR,GBR,British in England and Scotland
22,-43413.65634123419,5818.519021924187,-4611.725392132268,HG00120,EUR,GBR,British in England and Scotland
